a | 7/4/2021 9:22:17 PM | 00:00:04.1233194 | 3 | LA PAZ
a | 7/4/2021 9:22:17 PM | 00:00:04.1233194 | 3 | LA PAZ
a | 7/4/2021 9:22:17 PM | 00:00:04.1233194 | 3 | LA PAZ
a | 7/4/2021 9:22:17 PM | 00:00:04.1233194 | 3 | LA PAZ
a | 7/4/2021 9:22:17 PM | 00:00:04.1233194 | 3 | LA PAZ
a | 7/4/2021 9:22:17 PM | 00:00:04.1233194 | 3 | LA PAZ
das | 7/4/2021 9:22:45 PM | 00:00:04.4240822 | 3 | NAIROBI
b | 7/4/2021 9:20:49 PM | 00:00:05.7162516 | 3 | PARAMARIBO
b | 7/4/2021 9:20:49 PM | 00:00:05.7162516 | 3 | PARAMARIBO
b | 7/4/2021 9:20:49 PM | 00:00:05.7162516 | 3 | PARAMARIBO
b | 7/4/2021 9:20:49 PM | 00:00:05.7162516 | 3 | PARAMARIBO
b | 7/4/2021 9:20:49 PM | 00:00:05.7162516 | 3 | PARAMARIBO
b | 7/4/2021 9:20:49 PM | 00:00:05.7162516 | 3 | PARAMARIBO
dsa | 7/4/2021 9:18:53 PM | 00:00:07.4159920 | 0 | BASSETERRE
dsa | 7/4/2021 9:18:53 PM | 00:00:07.4159920 | 0 | BASSETERRE
dsa | 7/4/2021 9:18:53 PM | 00:00:07.4159920 | 0 | BASSETERRE
dsa | 7/4/2021 9:18:53 PM | 00:00:07.4159920 | 0 | BASSETERRE
dsa | 7/4/2021 9:18:53 PM | 00:00:07.4159920 | 0 | BASSETERRE
dsa | 7/4/2021 9:18:53 PM | 00:00:07.4159920 | 0 | BASSETERRE
